ID #,Whale,Species,Total Length (m),Log10 TL (m),Mass per Unit Length,Mass Based on TL,Log Mass,Sa Coeff (area/m),Surface Area (m2),Fluke Area (m),Chord Length (m),Maximum Diameter,Fineness Ratio,Special Notes
5,bb180304-42,Minke,8.039457656,0.905226752,825,6632.552566,3.821680701,3.5,28.1381018,1.109,0.734559658,1.424354646,5.644280854,
6,bb180304-45,Minke,8.620920788,0.935553655,825,7112.25965,3.852007603,3.5,30.17322276,1.071,0.743414236,1.444013611,5.970110478,Speed messed up near end. Removed A series of flukebeats without speed.
15,bp170907-41b,Fin,18.47,1.266466895,2220.120573,41005.62698,4.612843457,5.814969371,107.4024843,2.435,1,,,"Gyros messed up. Using Accelerometer x-axis (Aw(:,1))."
19,bp180828-44,Fin,19.33,1.286231854,2220.120573,42914.93067,4.632608415,5.814969371,112.4033579,3.127,1.13,1.9,10.17368421,
28,bw170813-44,Blue,22.59,1.353916231,3659.249544,82662.4472,4.917308258,6.776804323,153.0880096,4.442,1.33,,,"yaxisgyro is slightly below zero, might want to re-center."
30,bw170814-31,Blue,22.21,1.346548559,3659.249544,81271.93237,4.909940586,6.776804323,150.512824,4.471,1.24,2.71,8.195571956,One measurement removed for lack of accurate speed measure (assumed)
31,bw170814-40,Blue,22.53,1.352761192,3659.249544,82442.89223,4.916153219,6.776804323,152.6814014,5.285,1.34,2.863333825,7.868450338,
32,bw170814-50,Blue,22.75,1.356981401,3659.249544,83247.92713,4.920373428,6.776804323,154.1722983,4.442,1.24,3.170940129,7.174528396,
33,bw170814-51,Blue,20.7,1.315970345,3659.249544,75746.46556,4.879362373,6.776804323,140.2798495,3.698,1.04,,,
34,bw170815-21,Blue,22.55,1.353146546,3659.249544,82516.07722,4.916538574,6.776804323,152.8169375,3.357,1.27,2.665749505,8.459159407,
35,bw170815-28,Blue,21.09,1.32407658,3659.249544,77173.57288,4.887468607,6.776804323,142.9228032,4.223,1.23,2.554351888,8.256497508,
36,bw170815-43,Blue,21.98,1.342027688,3659.249544,80430.30498,4.905419715,6.776804323,148.954159,3.623,1.19,2.745733461,8.005147008,
37,bw170816-27,Blue,22.51,1.352375495,3659.249544,82369.70724,4.915767522,6.776804323,152.5458653,6.199,1.47,3.1,7.261290323,
38,bw170816-41,Blue,24.12,1.382377303,3659.249544,88261.099,4.945769331,6.776804323,163.4565203,5.433,1.38,2.902888978,8.308963994,
39,bw170816-44,Blue,21.77,1.337858429,3659.249544,79661.86257,4.901250456,6.776804323,147.5310301,4.668,1.3,2.679195205,8.125574411,
40,bw170816-51,Blue,22.93,1.360404055,3659.249544,83906.59204,4.923796082,6.776804323,155.3921231,5.068,1.33,2.913890629,7.869204071,
43,bw180827-52,Blue,23.59,1.372727941,3659.249544,86321.69674,4.936119968,6.776804323,159.864814,4.906,1.37,3.44,6.85755814,
44,bw180830-46,Blue,19.27,1.284881715,3659.249544,70513.73871,4.848273742,6.776804323,130.5890193,3.999,1.03,2.41,7.995850622,
45,bw180830-52b,Blue,21.98,1.342027688,3659.249544,80430.30498,4.905419715,6.776804323,148.954159,4.415,1.28,2.71,8.110701107,
46,bw180904-44,Blue,25.18,1.401055726,3659.249544,92139.90352,4.964447753,6.776804323,170.6399328,5.522,1.35,2.88,8.743055556,
47,bw180904-48,Blue,22.83,1.358505911,3659.249544,83540.66709,4.921897939,6.776804323,154.7144427,5.128,1.34,2.79,8.182795699,
49,bw180905-53,Blue,24.49,1.388988785,3659.249544,89615.02133,4.952380813,6.776804323,165.9639379,5.862,1.4,2.81,8.715302491,
98,mn170703-40,Humpback,10.1,1.004321374,2323.807477,23470.45552,4.370521519,5.548037889,56.03518268,2.274,0.94,,,tough to see tail in image 
99,mn170807-40,Humpback,10.44,1.018700499,2323.807477,24260.55006,4.384900643,5.548037889,57.92151556,2.701,1.01,1.942977731,5.37319591,
100,mn170807-41,Humpback,12.17,1.085290578,2323.807477,28280.737,4.451490723,5.548037889,67.51962111,4.217,1.14,2.183012426,5.574865197,
101,mn170808-42,Humpback,8.22,0.914871818,2323.807477,19101.69746,4.281071962,5.548037889,45.60487145,1.641,0.72,1.87,4.4,
103,mn170809-41,Humpback,8.8,0.944482672,2323.807477,20449.5058,4.310682817,5.548037889,48.82273342,2.221,0.98,1.79,4.91,
104,mn170809-43,Humpback,10.2,1.008600172,2323.807477,23702.83627,4.374800317,5.548037889,56.58998647,2.669,1.1,2.083554224,4.895480944,
105,mn170809-44,Humpback,12.73,1.104828404,2323.807477,29582.06919,4.471028548,5.548037889,70.62652233,4.949,1.3,2.672408362,4.763493551,
106,mn170809-50,Humpback,11.64,1.06595298,2323.807477,27049.11904,4.432153125,5.548037889,64.57916103,3.352,1.08,2.520459976,4.618204658,
